The Hunger Games: Catching Fire,"[u'snow', u'tour', u'uprising', u'mentor', u'president', u'commander', u'soldier', u'dystopia', u'sign language', u'dictator', u'stadium', u'montage', u'fight the system', u'love triangle', u'knife', u'cyberpunk', u'flood', u'sword', u'warrior', u'factory', u'murder', u'knocked out', u""character repeating someone else's dialogue"", u'bow and arrow', u'training', u'blood', u'near future', u'conspiracy', u'what happened to epilogue', u'future', u'secret', u'party', u'threatened with a knife', u'surveillance', u'hallucination', u'power outage', u'second part', u'drowning', u'suspicion', u'threat', u'dome', u'palace', u'electrocution', u'inventor', u'interview', u'death', u'fake marriage', u'survival', u'mother son relationship', u'explosion', u'flamethrower', u'television', u'tracking device', u'talk show host', u'machine gun', u'airship', u'female warrior', u'graffiti', u'applause', u'alcoholic', u'fireworks', u'totalitarianism', u'poison', u'resistance', u'lightning', u'self sacrifice', u'revolution', u'photograph', u'animal attack', u'tree', u'locket', u'fascism', u'mother daughter relationship', u'protective male', u'no opening credits', u'campfire', u'bleeped dialogue', u'sports arena', u'healing', u'impalement', u'bare chested male bondage', u'based on young adult novel', u'title at the end', u'fog', u'man punching a woman', u'shot in the chest', u'mercenary', u'futuristic train', u'satire', u'fire', u'tough girl', u'no title at beginning', u'open ended', u'cpr', u'nightmare', u'letter', u'horse', u'rainstorm', u'sister sister relationship', u'miner', u'anti heroine', u'baboon', u'dance', u'shot to death', u'ape', u'punched in the face', u'stabbed in the arm', u'sequel', u'one woman army', u'faked pregnancy', u'bat', u'undressing', u'heavy rain', u'violence', u'forest', u'helicopter', u'beaten to death', u'wedding dress', u'suicide', u'shot in the back', u'futuristic', u'stabbed to death', u'blockbuster', u'stabbed in the chest', u'killing an animal', u'woods', u'teenage heroine', u'scientist', u'underwater scene', u'post apocalypse', u'political satire', u'army', u'propaganda', u'shot in the leg', u'post traumatic stress disorder', u'whipping', u'covered in blood', u'jungle', u'female protagonist', u'returning character killed off', u'social commentary', u'military', u'pistol', u'computer', u'tournament', u'action heroine', u'teenager', u'poisoned to death', u'bare chested male', u'torture', u'mansion', u'faked death', u'elevator', u'person on fire', u'competition', u'corpse', u'husband wife relationship', u'hologram', u'shot in the head', u'execution', u'fictitious sport', u'stabbed in the back', u'hypodermic needle', u'animal killing', u'beach', u'spear', u'oppression', u'island', u'deception', u'class differences', u'sugar cube', u'forcefield', u'train', u'teenage hero', u'paranoia', u'death of friend', u'death of mother', u'based on novel', u'surprise ending', u'']"
Iron Man 3,"[u'prototype', u'terrorist', u'tennessee', u'explosion', u'mansion', u'helicopter', u'terrorist attack', u""new year's eve"", u'fight', u'malibu california', u'helicopter attack', u'post traumatic stress disorder', u'bodyguard', u'small town', u'scientist', u'diner', u'rescue', u'gash in the face', u'playboy', u'surprise after end credits', u'head mounted display', u'laptop', u'fistfight', u'shootout', u'woman wearing a string bikini', u'hit by a truck', u'warrior', u'hand through chest', u'chase', u'supernatural power', u'shotgun', u'british actor playing american character', u'super soldier', u'hotel', u'beauty contest', u'manipulation', u'tied feet', u'christmas', u'falling from height', u'voice over narration', u'blockbuster', u'speedboat', u'knocked out', u'berne switzerland', u'axe', u'exploding helicopter', u'surveillance', u'water tower collapse', u'person on fire', u'ak 47', u'combat', u'boy', u'based on comic', u'action hero', u'showdown', u'power suit', u'exploding airplane', u'elevator', u'investigation', u'media manipulation', u'severed leg', u'battle', u'martial arts', u'female killer', u'nightmare', u'tied up while barefoot', u'botanist', u'computer hacker', u'ex soldier', u'grenade', u'arrest', u'super strength', u'soldier', u'security camera', u'marvel entertainment', u'presumed dead', u'anxiety attack', u""grauman's chinese theater"", u'assassin', u'subjective camera', u'female soldier', u'robot suit', u'wheelchair', u'actor', u'bell 206 jet ranger helicopter', u'terrorism', u'villain not really dead cliche', u'disguise', u'battlefield', u'flashback', u'conspiracy', u'memorial', u'one liner', u'interrogation', u'brawl', u'kidnapping', u'dunce cap', u'hospital', u'year 1999', u'air to surface missile', u'sequel', u'final battle', u'held at gunpoint', u'20th century', u'prologue', u'no opening credits', u'girl in a wheelchair', u'sheriff', u'bar', u'security guard', u'metal in a microwave oven', u'billionaire', u'water tower', u'colonel', u'black comedy', u'robot', u'snow', u'severed arm', u'neck breaking', u'hostage', u'news report', u'filmed killing', u'death', u'air force one', u'regret', u'escape', u'drug addict', u'missing limb', u'rooftop', u'blown off feet', u'crutches', u'police officer killed', u'old flame', u'airforce one', u'burned in effigy', u'female assassin', u'power armor', u'anti hero', u'foot chase', u'pistol', u'exploding body', u'terrorist cell', u'revelation', u'amputee', u'cure', u'machine gun', u'pirate broadcasting', u'marvel cinematic universe', u'limousine', u'double cross', u'fire', u'third part', u'oil rig', u'motel', u'missile attack', u'no title at beginning', u'gearing up', u""character's point of view camera shot"", u'flash forward', u'hit by a car', u'terrorist bombing', u'torture', u'one man army', u'scar', u'explosive decompression', u'exploding house', u'restaurant', u'hand to hand combat', u'stun gun', u'fireworks', u'knife', u'slapstick comedy', u'uzi', u'mutation', u'face tattoo', u'deception', u'fire truck', u'white house', u'21st century', u'2010s', u'washington d.c.', u'pakistan', u'reference to albert einstein', u'surgery', u'handcuffs', u'corrupt politician', u'fake accent', u'superhero', u'transformation', u'armor', u'cover up', u'nanotechnology', u'artificial intelligence', u'u.s. president', u'marvel comics', u'shot in the head', u'mind control', u'christmas tree', u'screaming in pain', u'helicopter crash', u'party', u'engineer', u'missile', u'terrorist group', u'hologram', u'1990s', u'cameo', u'human bomb', u'ambulance', u'extremis', u'narrated by character', u'media coverage', u'miami florida', u'babe scientist', u'microwave oven', u'terrorist plot', u'scene after end credits', u'virus', u'femme fatale', u'shot in the chest', u'wisecrack humor', u'based on comic book', u'begins with a quotation', u'mob of reporters', u'cell phone', u'underwater scene', u'ceo', u'bare chested male', u'finger gun', u'airplane hijacking', u'regeneration', u'woman in a bikini', u'science runs amok', u'violence', u'computer cracker', u'betrayal', u'gatling gun', u'inventor', u'murder', u'gunfight', u'newscast', u'ch 47 chinook helicopter', u'toy gun', u'number in title']"
Frozen,"[u'snowman', u'troll', u'reindeer', u'mountain', u'ice', u'magic', u'snow', u'true love', u'prince', u'princess', u'girl', u'disney animated feature', u'aurora borealis', u'lighthouse', u'clumsy girl', u'peeking under a door', u'sceptre', u'isolation', u'ice block', u'water fountain', u'based on fairy tale', u'storm at sea', u'looking through a keyhole', u'self sacrifice', u'sister sister relationship', u'near death experience', u'cheating death', u'mountain climber', u'suit of armor', u'book', u'queen', u'buried in snow', u'infatuation', u'betrayal', u'female protagonist', u'treason', u'ballroom dancing', u'orphan', u'carrot', u'cold', u'bechdel test passed', u'horse riding', u'saw', u'gloves', u'scene after end credits', u'surprise after end credits', u'barque', u'hopeless romantic', u'despair', u'happy ending', u'cliff', u'one word title', u'sleigh', u'villain arrested', u'barn', u'cabin in the woods', u'shadow', u'falling into water', u'person in ice', u'sister love', u'marriage proposal', u'falsely accused', u'standing on a bicycle', u'deceiver', u'walking through deep snow', u'sacrifice']"
Despicable Me 2,"[u'minion', u'wedding cake', u'kiss on the lips', u'wig', u'fire alarm', u'driving a car into the ocean', u'wifi', u'dating', u'rocket', u'sequel', u'pet dog', u'boy girl relationship', u'second part', u'single father', u'laptop', u'watch', u'krav maga', u'undercover spy', u'green eyes', u""character's point of view camera shot"", u'wilhelm scream', u'mutation', u'arctic circle', u'shock wave', u'cut the red wire or blue wire?', u'brown eyes', u'stun gun', u'exploding volcano', u'eagle', u'cupcake', u'spy', u'bakery', u'555 phone number', u'talking through door', u'tranquilizer dart', u'speaking with a russian accent', u'anti hero', u'toy unicorn', u'motorcycle', u'trash bin', u'dynamite', u'heat ray', u'chicken', u'electric shock', u'fall from height', u'wig store', u'starfish', u'climbing a tree', u""painting someone's body"", u'overprotective father', u'restaurant', u'cat', u'opposing energy beams', u'vacuum cleaner', u'cross dressing', u'jelly', u'rattlesnake', u'father daughter relationship', u'driving a car out of a shopping mall', u'hunchback', u'belt', u'wedding of main characters', u'pancake', u'kicking in a door', u'volcano', u'garbage bin', u'flamethrower', u'wedding', u'three word title', u'jujitsu', u'russian accent', u'freeze ray', u'covered in paint', u'singing in a car', u'grey eyes', u'wedding kiss', u'lava', u'computer animation', u'shark', u'guacamole', u'saving the world', u'']"
Man of Steel,"[u'kansas', u'journalist', u'hope', u'explosion', u'based on comic', u'action hero', u'collapsing building', u'surrogate family', u'bully', u'genetic engineering', u'telepathy', u'tank', u'false identity', u""drink thrown into someone's face"", u'diner', u""coup d'etat"", u'tough guy', u'u.s. soldier', u'superhero', u'terraforming', u'butt slap', u'child in peril', u'school', u'murder', u'fighting in the air', u'space war', u'school bus falling off a bridge', u'alien', u'laser', u'crushed to death', u'sequel', u'mixed martial arts', u'super strength', u'warrior', u'spacecraft', u'shootout', u'riding a dragon', u'tornado', u'airplane', u'skeleton', u'impalement', u'american flag', u'blockbuster', u'laser gun', u'missile', u'no title at beginning', u'no opening credits', u'power outage', u'professor', u'flying', u'shot in the chest', u'costume', u'x rayed skeleton', u'escape pod', u'infant', u'restaurant', u""character's point of view camera shot"", u'reboot of series', u'alien contact', u'ch 47 chinook helicopter', u'helicopter', u'kicked in the face', u'punched in the face', u'civil war', u'super speed', u'news report', u'cape', u'spitting blood', u'moon', u'hitchhiking', u'world domination', u'church', u'adoption', u'breaking handcuffs', u'revenge', u'human skull', u'coming of age', u'showdown', u'earth viewed from space', u'imprisonment', u'punched in the chest', u'title at the end', u'woman punching a man', u'cornfield', u'mercy killing', u'nonlinear timeline', u'falling to death', u'rescue', u'invulnerability', u'falling object', u'adoptive father', u'origin of hero', u'deoxyribonucleic acid', u'family farm', u'x ray vision', u'u.s. air force', u'humanoid', u'fisherman', u'handcuffs', u'desert', u'skull', u'thrown through a window', u'alien invasion', u'fight to the death', u'scientist', u'final battle', u'spaceship', u'bare chested male', u'flying man', u'soldier', u'bridge', u'construction site', u'battlefield', u'fictional war', u'shot in the head', u'woman in labor', u're boot', u'good versus evil', u'barn', u'oil platform', u'man with glasses', u'waitress', u'fairchild republic a 10 thunderbolt ii', u'lens flare', u'laptop', u'pirate broadcasting', u'battle', u'kidnapping', u'cell phone', u'megalomaniac', u'fire', u'villainess', u'stabbed in the chest', u'ufo', u'newspaper reporter', u'super villain', u'air strike', u'apocalypse', u'knife', u'assassination', u'mother son relationship', u'arrest', u'alien civilization', u'outpost', u'combat', u'exploding helicopter', u'beating', u'polar bear', u'cemetery', u'oil rig', u'dog', u'chase', u'alien planet', u'fighter jet', u'bank vault', u'assault rifle', u'thrown through a wall', u'robot', u'human versus alien', u'engineer', u'chaos', u'space ship', u'tent', u'neck breaking', u'ferry', u'telekinesis', u'3 dimensional', u'man punching a woman', u'damsel in distress', u'trucker', u'uh 60 blackhawk helicopter', u'photograph', u'space exploration', u'cryogenics', u'captain', u'school bus', u'dc comics', u'underwater scene', u'two way mirror', u'based on comic book', u'space battle', u'inside the mind', u'foster parent', u'laboratory', u'hotel', u'rocket launch', u'self sacrifice', u'heroism', u'guided missile', u'escape', u'canada', u'first part', u'creature', u'm 2 bradley fighting vehicle', u'ice', u'kicked in the stomach', u'alien abduction', u'orphan', u'suit of armor', u'torture', u'investigative reporter', u'general', u'humvee', u'lockheed martin boeing f 22 raptor', u'death', u'editor in chief', u'helicopter crash', u'satellite', u'implosion', u'reporter', u'martial arts', u'costumed hero', u'flashback', u'spacesuit', u'end of the world', u'interrogation', u'young version of character', u'superhuman', u'fbi agent', u'lifted by the throat', u'sikorsky sh 3 sea king helicopter', u'hostage', u'plane crashing into a building', u'fistfight', u'army', u'submerged school bus', u'money falling through the air', u'priest', u'reluctant hero', u'exploding plane', u'binoculars', u'snow', u'uh 1 huey helicopter', u'hitchhiker', u'altered version of studio logo', u'school teacher', u'fbi', u'wilhelm scream', u'sikorsky sh 60 seahawk', u'race against time', u'saturn the planet', u'bar', u'one man army', u'injection', u'gatling gun', u'exploding car', u'outer space', u'small town', u'one against many', u'violence', u'shot to death', u'artificial intelligence', u'exploding gasoline station', u'red cape', u'drifter', u'hiding in a closet', u'destruction of planet', u'gas mask', u'bank', u'waiter', u'farmhouse', u'exploding body', u'c 17 globemaster', u'restraint', u'crashing through a window', u'space travel', u'media coverage', u'fetus', u'hologram', u'mercilessness', u'phantom zone', u'war criminal', u'yelling', u'gas station', u'colonel', u'farmer', u'adoptive mother', u'secret identity', u'jumping through a window', u'exploding train', u'machine gun', u'interview', u'female soldier', u'exploding planet', u'alien race', u'ancient astronaut', u'fighter pilot', u'exploding ship', u'atmospheric reentry', u'pistol', u'childbirth', u'fight', u'farm', u'exploding building', u'female reporter', u'product placement', u'stabbed to death', u'father son relationship', u'falling debris', u'military', u'exploding airplane', u'codex', u'exploding truck', u'hand to hand combat', u'three word title', u'humanity in peril', u'newspaper office', u'tree swing', u'black hole', u'council', u'm1 abrams tank', u'space capsule', u'gunfight', u'bully comeuppance', u'crash landing', u'oh 6 cayuse helicopter', u'fishing boat', u'mind reading', u'lifting person in air', u""character repeating someone else's dialogue"", u'person on fire', u'fictional city', u'truck', u'adopted son', u'blow out', u'supernatural power', u'human alien', u'catching someone who falls', u'criminal', u'car crash', u'anti villain', u'brawl', u'head butt', u'falling from height', u'loner', u'epic', u'destroyed city', u'u.s. army', u'helmet', u'husband wife relationship', u'jumping from height', u'death of husband', u'christ allegory', u'fake identity', u'assumed identity', u'death of father', u'surprise ending', u'']"
Gravity,"[u'engineer', u'satellite', u'oxygen', u'medical engineer', u'astronaut', u'explosion', u'russian', u'space station', u'spacewalk', u'disaster', u'space shuttle', u'survival', u'space mission', u'isolation', u'lack of gravity', u'woman with tragic history', u'outer space', u'written by director', u'spinning through space', u'sole survivor', u'prayer', u'fear', u'race against time', u'long take', u""character repeating someone else's dialogue"", u'reference to marvin the martian', u'film starts with text', u'lack of oxygen', u'corpse', u'bolt', u'lullaby', u'spacesuit', u'anecdote', u'self pity', u'female doctor', u'tension', u'critically acclaimed', u'space travel', u'box office hit', u'hubble space telescope', u'chaos', u'altered version of studio logo', u'fire', u'female astronaut', u'alone against the odds', u'international space station', u'crash landing', u'adrift in space', u'marooned', u'one day', u'hole in the head', u'alarm', u'retirement', u'radio', u'technology', u'self sacrifice', u'subjective camera', u'science', u'minimal cast', u'3 dimensional', u'space debris', u'weightlessness', u'no opening credits', u'hallucination', u'wrench', u'fireball', u'jet pack', u'fountain pen', u'explosive decompression', u'panic', u'3d', u'parachute', u'beach', u'frog', u'despair', u'fire extinguisher', u""character's point of view camera shot"", u'dream sequence', u'death of daughter', u'earth viewed from space', u'flashback', u'hyperventilation', u'visceral', u'one word title', u'helmet', u'underwater scene', u'soliloquy', u'indian', u'doctor', u'metaphor', u'near death experience', u'houston texas', u'title at the end', u'kessler syndrome', u'virtual set', u'chinese', u'lens flare', u'undressing', u'escape pod', u'death', u'suspense', u'nasa', u'female protagonist', u'hubble telescope repair mission', u'zero gravity', u'trapped in space', u'can opener', u'']"
Monsters University,"[u'monster', u'friend', u'university', u'singing on bus', u'best friend', u'prequel', u'wilhelm scream', u'fraternity', u'mother son relationship', u'fraternity brother', u'singing in a car', u'frat boy', u'party', u'origin story', u'pixar animated film', u'scared child', u'cheating', u'university professor', u'bully', u'sequel']"
The Hobbit: The Desolation of Smaug,"[u'mountain', u'lake town', u'burglar', u'wizard', u'dragon', u'ring', u'giant spider', u'hobbit', u'party', u'giant', u'dwarf', u'quest', u'fight', u'strangulation', u'child in peril', u'stabbed in the mouth', u'sequel', u'water well', u'small town', u'combat', u'dual wield', u'rain', u'escape', u'healing power', u'sword fight', u'guard', u'father daughter relationship', u'fist fight', u'animal attack', u'explosion', u'leg wound', u""character's point of view camera shot"", u'creature', u'stabbed in the head', u'redemption', u'bridge', u'revenge', u'death', u'forest', u'shot in the leg', u'subterranean', u'blockbuster', u'hidden door', u'stabbed in the chest', u'sword and sorcery', u'snow', u'underwater scene', u'deception', u'cave', u'shot in the head', u'nightmare', u'shapeshifting', u'stabbed in the arm', u'action heroine', u'blood', u""character repeating someone else's dialogue"", u'bow and arrow', u'assassination attempt', u'shot to death', u'soldier', u'no opening credits', u'corrupt official', u'subjective camera', u'stabbed in the throat', u'brother sister relationship', u'hiding in a barrel', u'molten gold', u'murder', u'action hero', u'cliffhanger', u'treasure', u'skull', u'armory', u'stabbed in the leg', u'unrequited love', u'boat', u'shot in the throat', u'stabbed in the eye', u'fantasy sequence', u'3 dimensional', u'director cameo', u'female warrior', u'single father', u'jail cell', u'flashback', u'assassin', u'necromancer', u'greed', u'love triangle', u'flood', u'shot in the forehead', u'wine cellar', u'orb', u'ambush', u'pipe smoking', u'waterfall', u'axe', u'neck breaking', u'elf', u'stylized violence', u'goat', u'rescue', u'thief', u'prequel', u'village', u'martial arts', u'stabbed to death', u'shot in the back', u'kingdom', u'mayor', u'disfigured face', u'severed head', u'burning building', u'giant monster', u'brawl', u'monster', u'father son relationship', u'tomb', u'coming of age', u'skeleton', u'fire breathing dragon', u'killing an animal', u'key', u'knife throwing', u'falling down stairs', u'teleportation', u'open ended', u'lost in the woods', u'written by director', u'falling from height', u'jewel', u'invisibility', u'dam', u'fictional war', u'poison', u'moonlight', u'throat slitting', u'shot in the arm', u'female soldier', u'decapitation', u'single parent', u'army', u'hostage', u'person on fire', u'castle', u'shot in the face', u'gold', u'knocked out', u'lens flare', u'warrior', u'shot in the neck', u'ice', u'shield', u'map', u'shot in the eye', u'drunkenness', u'mixed martial arts', u'tough guy', u'woods', u'king', u'sword', u'disfigurement', u'dream', u'spear', u'forcefield', u'prophecy', u'fish', u'prequel and sequel', u'pub', u'battle', u'freedom fighter', u'impalement', u'subtitled scene', u'shot in the chest', u'stabbed in the back', u'poisoned arrow', u'dark fantasy', u'photograph', u'good versus evil', u'violence', u'shot in the shoulder', u'fire', u'river', u'transformation', u'giant creature', u'magic', u'foot chase', u'second part', u'sword and fantasy', u'arrest', u'tough girl', u'scar', u'animal killing', u'knife', u'cocoon', u'blood splatter', u'chase', u'torso cut in half', u'home invasion', u'barn', u'barrel', u'female fighter', u'gold coin', u'stabbed in the shoulder', u'hallucination', u'race against time', u'hand to hand combat', u'stabbed in the neck', u'based on novel', u'title spoken by character', u'character name in title', u'']"
Fast & Furious 6,"[u'criminal', u'mercenary', u'spain', u'security guard', u'ex cop', u'shiv', u""character repeating someone else's dialogue"", u'necklace', u'falling to death', u'fist fight', u'returning character killed off', u'product placement', u'interrogation', u'head butt', u'interracial relationship', u'shot in the back', u'airplane accident', u'racing on a mountain road', u'surprise during end credits', u'disguise', u'flashback', u'government agent', u'night cityscape', u'soldier', u'tokyo japan', u'silencer', u'car crash', u'undercover', u'stabbed in the leg', u'blockbuster', u'captain', u'millionaire', u'sixth part', u'parking garage', u'female killer', u'private jet', u'femme fatale', u'manipulation', u'shot to death', u'exploding body', u'deception', u'falling down stairs', u'investigation', u'female agent', u'runway', u'car race', u'arms dealer', u'death', u'showdown', u'warrior', u'rogue agent', u'muscleman', u'death of girlfriend', u'microchip', u'exploding building', u'murder', u'forced to strip', u'english subtitles', u'desert eagle', u'reference to the hulk', u'tough guy', u'anti hero', u'corrupt cop', u'security camera', u'subtitled scene', u'moscow russia', u'hostage', u'digit in title', u'custom car', u'fight', u'scar', u'two way mirror', u'ampersand in title', u'sequel', u'exploding bridge', u'turbo diesel engine', u'childbirth', u'held at gunpoint', u'car flip', u'prisoner', u'ex con', u'thief', u'inbetwequel', u'motorcycle', u'surveillance', u'improvisation', u'car rollover', u'violence', u'beating', u'terrorist plot', u'street shootout', u'american abroad', u'machine gun', u'reference to thor', u'fbi', u'assassin', u'broken nose', u'exploding airplane', u'scene during end credits', u'lasersight', u'vending machine', u'reference to captain america', u'los angeles california', u'mexican standoff', u'revolver', u'subway station', u'prison', u'martial arts', u'hand to hand combat', u'drag racing', u'boyfriend girlfriend relationship', u'swat team', u'm1 abrams tank', u'brawl', u'harpoon', u'computer cracker', u'threat', u'fast car', u'jumping from a car', u'automated teller machine', u'prison fight', u'crime boss', u'sixth in series', u'arrest', u'action hero', u'driving in the wrong direction', u'car chase', u'bitten on the leg', u'fbi agent', u'terrorism', u'assassination attempt', u'tank', u'death of loved one', u'cut into pieces', u'cargo plane', u'car theft', u'shotgun', u'numbered sequel', u'c 17 globemaster', u'police chase', u'cctv', u'thrown through the air', u'mixed martial arts', u'body landing on a car', u'punched in the face', u'sixth in a series', u'terrorist', u'sniper', u'number 6 in title', u'subway', u'tough girl', u'grappling hook gun', u'pawnshop', u'demolition', u'canary islands', u'bomb', u'exploding car', u'kicked in the stomach', u'motorcycle stunt', u'high tech', u'terrorist group', u'sniper rifle', u'fistfight', u'airplane', u'car accident', u'military convoy', u'lens flare', u'bare chested male', u'rescue', u'shot in the shoulder', u'baby', u'gunfight', u'foot chase', u'wink', u'assault rifle', u'amnesia', u'female assassin', u'catfight', u'punched in the stomach', u'wisecrack humor', u'pistol', u'toy car', u'cameo', u'camera focus on female butt', u'photograph', u'slow motion scene', u'stolen car', u'self sacrifice', u'brother sister relationship', u'army', u'action heroine', u'shootout', u'hong kong', u'one man army', u'torture', u'woman wearing a thong bikini', u'police officer killed', u'humvee', u'explosive', u'hospital', u'london england', u'tunnel', u'shot in the chest', u'military base', u'kidnapping', u'barbecue', u'ak 47', u'explosion', u'learjet 35', u'death of friend', u'number in title', u'surprise ending']"
Oz the Great and Powerful,"[u'witch', u'magician', u'circus', u'magic', u'kansas', u'illusion', u'wizard', u'hope', u'womanizer', u'treasure', u'tornado', u'magic wand', u'prophecy', u'black and white segues into color', u'actress playing multiple roles', u'midget', u'foot chase', u'forest', u'deception', u'munchkin', u'prequel', u'china doll', u'yellow brick road', u'clown', u'fireworks', u'flying monkey', u'prequel to cult film', u'black and white', u'magic trick', u'girl', u'talking animal', u'broomstick', u'projection', u'false accusation', u'fall from height', u'life debt', u'reference to thomas edison', u'fairy', u'freedom', u'friendship', u'apple', u'on the run', u'creature', u'broken leg', u'glue', u'army', u'five word title', u'redemption', u'lion', u'witch hat', u'throne', u'hiding', u'wheelchair', u'leather pants', u'porcelain', u""magician's assistant"", u'faked death', u'gold', u'reference to houdini', u'explosion', u'grudge', u'fireball', u'impostor', u'castle', u'bubble', u'flying broom', u'green skin', u'necklace', u'exile', u'place name in title', u'year 1905', u'top hat', u'loss of father', u'cheating death', u'knife', u'good versus evil', u""character repeating someone else's dialogue"", u'music box', u'scarecrow', u'fog', u'storm', u'3 dimensional', u'orphan', u'journey', u'sister sister relationship', u'actor playing multiple roles', u'1900s', u'dancing', u'hot air balloon', u'graveyard', u'con artist', u'near death experience', u'crystal ball', u'concealing the truth', u'tranformation', u'manipulation', u'kidnapping', u'title spoken by character', u'character name in title', u'']"
